连接线名称,回路号,起点位置,起点模块,起点孔位,终点位置,终点模块,终点孔位,连接线颜色,RAA3-14K024-AA,RAA3-14K024-BA,RAA3-14K024-CA,RAA3-14K024-DA,SAA1-14K024-AA,SAA1-14K024-BA,SAA1-14K024-CA,SAA1-14K024-DA,SAA1-14K024-EA,SAA1-14K024-FA
FLRY-B,NECANFDH01,,CCU1,1,,接前舱线束右1,6,白红,X,X,X,X,X,X,X,X,X,X
FLRY-B,NECANFDL01,,CCU1,2,,接前舱线束右1,7,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA05,,CCU1,5,,接机舱线束左,13,橙白,X,X,X,X,,,,,,
FLRY-B,EF16A,,CCU1,10,,接机舱线束左,9,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,EF17A,,CCU1,11,,接机舱线束左,46,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD22R01B,,CCU1,13,,CCU1,12,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,NECANH14,,CCU1,16,,接前舱线束右1,4,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,NECANL14,,CCU1,17,,接前舱线束右1,5,灰,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA24A,,CCU1,24,,接机舱线束左,34,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA35A,,CCU1,35,,接机舱线束左,35,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA30A,,CCU1,30,,接机舱线束左,24,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA31A,,CCU1,31,,接机舱线束左,16,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA32A,,CCU1,32,,接机舱线束左,15,黄红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUA34A,,CCU1,34,,接机舱线束左,33,绿蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB07,,CCU2,7,,OBD1,12,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB08,,CCU2,8,,OBD1,13,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB09,,CCU2,9,,OBD1,3,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB10,,CCU2,10,,OBD1,11,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB27,,CCU2,27,,OBD1,14,红黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB15,,CCU2,15,,OBD1,6,黄白,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB26A,,CCU2,26,,接机舱线束左,32,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB29,,CCU2,29,,接机舱线束左,20,绿橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB30,,CCU2,30,,OBD1,8,紫,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB31,,CCU2,31,,接机舱线束左,14,白黑,X,X,X,X,,,,,,
FLRY-B,ADCANL01,,CCU2,16,,接车身线束右,6,绿,X,,X,,X,,,X,,
FLRY-B,ADCANH01,,CCU2,28,,接车身线束右,7,白,X,,X,,X,,,X,,
FLRY-B,MP5C2A,,CDC主机,A_5,,接车身线束右,30,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,MP5C4A,,CDC主机,A_6,,接车身线束右,29,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE01,,CDC主机,C_1,,接前舱线束右1,23,橙绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCD08,,CDC主机,B_10,,接前舱线束右1,24,紫橙,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5红、绿(外白绿),CDCE05,,CDC主机,C_3,,接车身线束右,40,绿,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5红、绿(外白绿),CDCE13,,CDC主机,D_1,,接车身线束右,41,红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE07A,,CDC主机,C_4,,接车身线束右,40,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE07B,,接车身线束右,42,,接车身线束右,41,黑,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5红、绿(外白绿),CDCE19,,CDC主机,D_4,,接车身线束右,38,绿,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5红、绿(外白绿),CDCE20,,CDC主机,D_10,,接车身线束右,37,红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE21A,,CDC主机,D_5,,接车身线束右,38,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE21B,,接车身线束右,39,,接车身线束右,37,黑,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5白紫、绿黄(外黑),CDCE23,,CDC主机,D_6,,接车身线束右,35,绿黄,X,X,X,X,X,X,X,X,X,X
SHE-K2X0.5白紫、绿黄(外黑),CDCE24,,CDC主机,D_12,,接车身线束右,34,白紫,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE22A,,CDC主机,D_11,,接车身线束右,35,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE22B,,接车身线束右,36,,接车身线束右,34,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,JBOX03,,EACLL扬声器,1,,J-BOX,3,蓝白,,X,,X,,X,X,,X,X
FLRY-B,JBOX04,,EACLL扬声器,2,,J-BOX,4,橙白,,X,,X,,X,X,,X,X
FLRY-B,VBOX03,,EACLL扬声器,1,,V-BOX,3,蓝白,X,,X,,X,,,X,,
FLRY-B,VBOX04,,EACLL扬声器,2,,V-BOX,4,橙白,X,,X,,X,,,X,,
FLRY-B,ZCUR664A,,ESCL,4,,1,49, ,X,X,X,X,X,X,X,X,X,X
FLRY-B,HUD07,,HUD,7,,CDC主机,C_6,黑,X,,,X,X,,,,X,X
FLRY-B,HUD08,,HUD,8,,CDC主机,C_9,棕,,,,,X,X,,,,X,X
FLRY-B,JBOX17,,J-BOX,17,,接车身线束右,33,棕,,,,X,,X,X,,X,X
FLRY-B,JBOX19,,J-BOX,19,,接车身线束右,32,黄,,X,,X,,X,X,,X,X
FLRY-B,CDCCANH,,OBD1,2,,CDC集成APA,15,绿黑,,X,,X,,X,,,X,
FLRY-B,CDCCANL,,OBD1,10,,CDC集成APA,16,棕白,,X,,X,,X,,,X,
FLRY-B,VBOX17,,V-BOX,17,,接车身线束右,33,棕,X,,X,,X,,,X,,
FLRY-B,VBOX19,,V-BOX,19,,接车身线束右,32,黄,X,,X,,X,,,X,,
FLRY-B,ZCUL303A,,ZCUL03,3,,接机舱线束左,3,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL316A,,ZCUL03,16,,接机舱线束左,4,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL307,,ZCUL03,7,,接副仪表线束跳线,12,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL304,,ZCUL03,4,,接副仪表线束跳线,1,绿黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL317,,ZCUL03,17,,接副仪表线束跳线,3,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL321,,ZCUL03,21,,组合开关1,5,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL323,,ZCUL03,23,,接机舱线束左,28,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL325,,ZCUL03,25,,接机舱线束左,22,蓝,X,X,X,X,,,,,,
FLRY-B,ZCUL326,,ZCUL03,26,,接机舱线束左,29,白黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL328A,,ZCUL03,28,,接机舱线束左,18,蓝黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL329,,ZCUL03,29,,组合开关1,3,蓝黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL331,,ZCUL03,31,,接机舱线束左,23,黄,X,X,X,X,,,,,,
FLRY-B,ZCUL334,,ZCUL03,34,,接车身线束右,20,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL337,,ZCUL03,37,,组合开关2,5,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,JBOX12,,ZCUL03,39,,J-BOX,12,粉,,X,,X,,X,X,,X,X
FLRY-B,VBOX12,,ZCUL03,39,,V-BOX,12,粉,X,,X,,X,,,X,,
FLRY-B,ZCUL342,,ZCUL03,42,,组合开关1,1,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL343,,ZCUL03,43,,接前舱线束右1,25,白,X,X,X,X,,,,,,
FLRY-B,ZCUL344,,ZCUL03,44,,接机舱线束左,21,棕白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL346,,ZCUL03,46,,接副仪表线束跳线,9,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL347,,ZCUL03,47,,方向盘开关,7,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL349,,ZCUL03,49,,组合开关2,1,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL350,,ZCUL03,50,,组合开关2,6,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL351,,ZCUL03,51,,组合开关2,10,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL318,,ZCUL03,18,,接副仪表线束跳线,2,绿蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUR210D,,负离子发生器,2,,接车身线束右,31,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,APARL3D,,接车身线束右,8,,CDC集成APA,4,黄,,X,,X,,X,,,X,
FLRY-B,APARL1D,,接车身线束右,9,,CDC集成APA,3,蓝,,X,,X,,X,,,X,
FLRY-B,ZCUL601A,,接车身线束左,4,,前排快充USB,3,黄蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL602,,接车身线束左,5,,方向盘加热,3,红,X,X,X,X,X,X,,X,X,
FLRY-B,MP5C8A,,接车身线束左,6,,CDC主机,A_8,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,MP5C6A,,接车身线束左,7,,CDC主机,A_7,红,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL119,,接车身线束左,13,,HUD,5,蓝,X,,,X,X,,,,X,X
FLRY-B,ZCUL306,,接车身线束左,15,,ZCUL03,6,黄黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,SRSA08,,接车身线束左,19,,主驾膝部气囊,1,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,SRSA21,,接车身线束左,20,,主驾膝部气囊,2,白红,X,X,X,X,X,X,X,X,X,X
FLRY-B,RDCANL01,,接车身线束左,21,,CCU1,14,黄红,X,X,X,X,X,X,X,X,X,X
FLRY-B,RDCANH01,,接车身线束左,22,,CCU1,15,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,TCANH03,,接车身线束左,23,,J-BOX,10,白蓝,,X,,X,,X,X,,X,X
FLRY-B,TCANL03,,接车身线束左,24,,J-BOX,11,紫,,X,,X,,X,X,,X,X
FLRY-B,TCANH04,,接车身线束左,23,,V-BOX,10,白蓝,X,,X,,X,,,X,,
FLRY-B,TCANL04,,接车身线束左,24,,V-BOX,11,紫,X,,X,,X,,,X,,
FLRY-B,CCANH01,,接车身线束左,25,,CCU2,3,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCANL01,,接车身线束左,26,,CCU2,4,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,NECANH01,,接车身线束左,27,,ZCUL03,9,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,NECANL01,,接车身线束左,28,,ZCUL03,11,灰,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANH09,,接车身线束左,29,,CCU2,20,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANL09,,接车身线束左,30,,CCU2,19,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,SRSB18,,接车身线束左,31,,时钟弹簧,1,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,SRSB36,,接车身线束左,32,,时钟弹簧,2,绿蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,SRSB17,,接车身线束左,33,,副驾安全气囊,1,黑白,X,,X,,X,,,X,,
FLRY-B,SRSB35,,接车身线束左,34,,副驾安全气囊,2,绿橙,X,,X,,X,,,X,,
FLRY-B,ZCUL121AA,,接车身线束左,35,,OBD1,16,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,TCANH01,,接车身线束左,42,,CCU2,2,白蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,TCANL01,,接车身线束左,43,,CCU2,14,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL634A,,接车身线束左,46,,接副仪表线束跳线,18,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL345,,接车身线束左,47,,ZCUL03,45,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL332,,接车身线束左,48,,ZCUL03,32,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCU605,,接车身线束左,49,,组合仪表,6,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,MP5E02,,接车身线束左,54,,CDC主机,C_7,蓝绿,,,,,X,X,X,X,X,X
FLRY-B,MP5E03,,接车身线束左,55,,CDC主机,C_2,橙,,,,,X,X,X,X,X,X
FLRY-B,SRSB17A,,接车身线束左,33,,副驾安全气囊A,1,黑白,,X,,X,,X,X,,X,X
FLRY-B,SRSB35A,,接车身线束左,34,,副驾安全气囊A,2,绿橙,,X,,X,,X,X,,X,X
FLRY-B,ZCUR408A,,接副仪表线束跳线,11,,接车身线束右,52,红黑,,,,,X,X,X,X,X,X
FLRY-B,ZCUR235A,,接副仪表线束跳线,8,,接车身线束右,53,蓝绿,,,,,X,X,X,X,X,X
FLRY-B,ZCUR411A,,接副仪表线束跳线,13,,接车身线束右,54,紫,,,,,X,X,X,X,X,X
FLRY-B,ZCUR250A,,接副仪表线束跳线,10,,接车身线束右,55,绿蓝,,,,,X,X,X,X,X,X
FLRY-B,ZCUR116B,,接副仪表线束跳线,19,,接车身线束右,58,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL233,,接机舱线束左,6,,方向盘开关,1,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL231,,接机舱线束左,8,,方向盘开关,3,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL203,,接机舱线束左,25,,方向盘加热,2,蓝棕,X,X,X,X,X,X,,X,X,
FLRY-B,IPB44A,,接机舱线束左,40,,组合开关2,15,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,IPB15A,,接机舱线束左,41,,组合开关2,14,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,IPB28A,,接机舱线束左,42,,组合开关2,13,红橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,IPB17A,,接机舱线束左,43,,组合开关2,16,橙白,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCE04,,接机舱线束左,44,,CDC主机,C_8,绿黑,,,,,X,X,X,X,X,X
FLRY-B,ZCUL248A,,接机舱线束左,48,,ESCL,3,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL204,,接机舱线束左,49,,电动风口滤波器,1,红橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,TDUC29,,接前舱线束右1,3,,副驾吹面出风温度传感器,1,红橙,X,X,X,X,,,,,,
FLRY-B,ACA38,,接前舱线束右1,17,,负离子发生器,3,黑白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA40,,接前舱线束右1,18,,负离子发生器,5,蓝黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,APAFL1D,,接前舱线束右1,29,,CDC集成APA,1,黑红,,X,,X,,X,,,X,
FLRY-B,APAFL3D,,接前舱线束右1,30,,CDC集成APA,2,黑,,X,,X,,X,,,X,
FLRY-B,ZCUL301,,接前舱线束右1,27,,ZCUL03,1,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,TDUC01A,,室内温度传感器,1,,接前舱线束右1,8,白红,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA27,,室内温度传感器,2,,接前舱线束右1,15,黄黑,,,,,X,X,X,X,X,X
FLRY-B,TDUA02B,,室内温度传感器,2,,接前舱线束右1,26,黑,X,X,X,X,,,,,,
FLRY-B,TDUC28A,,室内温度传感器,3,,接前舱线束右1,9,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA21D,,室内温度传感器,4,,接前舱线束右1,16,黑,,,,,X,X,X,X,X,X
FLRY-B,LBQ03H,,仪表台电动出风口8,1,,SP743,H,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,J4-10,,右前门高音扬声器,1,,接车身线束右,43,黑,X,X,X,X,X,X,,X,X,
FLRY-B,J4-9,,右前门高音扬声器,2,,接车身线束右,44,白,X,X,X,X,X,X,,X,X,
FLRY-B,ZCUL210C,,智能旋钮,1,,接机舱线束左,47,蓝绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,J3-6,,中置高音扬声器,1,,接车身线束左,8,绿,X,X,X,X,X,X,,X,X,
FLRY-B,J3-5,,中置高音扬声器,2,,接车身线束左,9,白,X,X,X,X,X,X,,X,X,
FLRY-B,J3-7,,中置中音扬声器,1,,接车身线束右,47,绿,X,X,X,X,X,X,,X,X,
FLRY-B,J3-8,,中置中音扬声器,2,,接车身线束右,48,白,X,X,X,X,X,X,,X,X,
FLRY-B,TDUC13,,主驾吹面出风温度传感器,1,,接前舱线束右1,2,橙,X,X,X,X,,,,,,
FLRY-B,ZCUL229,,组合开关2,7,,接机舱线束左,5,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,IC02,,组合仪表,2,,CDC主机,B_4,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,IC03,,组合仪表,3,,CDC主机,C_5,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,J4-12,,左前门高音扬声器,1,,接车身线束左,56,橙,X,X,X,X,X,X,,X,X,
FLRY-B,J4-11,,左前门高音扬声器,2,,接车身线束左,57,灰,X,X,X,X,X,X,,X,X,
FLRY-B,GD24R01F,,GD24R,1,,方向盘加热,1,黑,X,X,X,X,X,X,,X,X,
FLRY-B,GD24R01F,,GD24R,1,,前排快充USB,1,黑,X,X,X,X,X,X,X,X,X,X
